Category,UNICEF Region,UNICEF Region Name,Indicator,Stratifier,Level,2006-2012,2013-2019
Global UNICEF Reporting,Global,Global (Reporting),DIARCARE,National,National,44.5,57.7
Global UNICEF Reporting,Global,Global (Reporting),DIARCARE,Area,Rural,43.5,56.5
Global UNICEF Reporting,Global,Global (Reporting),DIARCARE,Sex,Female,43.3,56.5
Global UNICEF Reporting,Global,Global (Reporting),DIARCARE,Sex,Male,45.3,58.2
Global UNICEF Reporting,Global,Global (Reporting),DIARCARE,WIQ,Poorest,38.3,52.4
Global UNICEF Reporting,Global,Global (Reporting),DIARCARE,WIQ,Second,42.3,55.7
Global UNICEF Reporting,Global,Global (Reporting),DIARCARE,WIQ,Middle,46.9,59
Global UNICEF Reporting,Global,Global (Reporting),DIARCARE,WIQ,Fourth,48.9,60.1
Global UNICEF Reporting,Global,Global (Reporting),DIARCARE,WIQ,Richest,56.1,64.7
Global UNICEF Reporting,Global,Global (Reporting),ORS,National,National,34.9,43.8
Global UNICEF Reporting,Global,Global (Reporting),ORS,Area,Rural,32.7,42.1
Global UNICEF Reporting,Global,Global (Reporting),ORS,Sex,Female,34.1,42.7
Global UNICEF Reporting,Global,Global (Reporting),ORS,Sex,Male,35.6,44.5
Global UNICEF Reporting,Global,Global (Reporting),ORS,WIQ,Poorest,29,38.9
Global UNICEF Reporting,Global,Global (Reporting),ORS,WIQ,Second,30.4,41
Global UNICEF Reporting,Global,Global (Reporting),ORS,WIQ,Middle,34.6,44
Global UNICEF Reporting,Global,Global (Reporting),ORS,WIQ,Fourth,37.5,46.8
Global UNICEF Reporting,Global,Global (Reporting),ORS,WIQ,Richest,43.2,49.4
Global UNICEF Reporting,Global,Global (Reporting),ORSZINC,National,National,1.6,15.6
Global UNICEF Reporting,Global,Global (Reporting),ORSZINC,Area,Rural,1.5,14.5
Global UNICEF Reporting,Global,Global (Reporting),ORTCF,National,National,39.2,42.2
Global UNICEF Reporting,Global,Global (Reporting),ORTCF,Area,Rural,37.2,40.4
Global UNICEF Reporting,Global,Global (Reporting),ORTCF,WIQ,Poorest,36.1,37.8
Global UNICEF Reporting,Global,Global (Reporting),ORTCF,WIQ,Second,36.2,41
Global UNICEF Reporting,Global,Global (Reporting),ORTCF,WIQ,Middle,37.8,42.2
Global UNICEF Reporting,Global,Global (Reporting),ORTCF,WIQ,Fourth,40.7,44.5
Global UNICEF Reporting,Global,Global (Reporting),ORTCF,WIQ,Richest,45.9,49.5
Global UNICEF Reporting,Global,Global (Reporting),PNEUCARE,National,National,60,68.3
Global UNICEF Reporting,Global,Global (Reporting),PNEUCARE,Area,Rural,57.3,65.5
Global UNICEF Reporting,Global,Global (Reporting),PNEUCARE,Sex,Female,58.6,66.6
Global UNICEF Reporting,Global,Global (Reporting),PNEUCARE,Sex,Male,61.4,70
Global UNICEF Reporting,Global,Global (Reporting),PNEUCARE,WIQ,Poorest,50.7,60.5
Global UNICEF Reporting,Global,Global (Reporting),PNEUCARE,WIQ,Second,57.4,65.3
Global UNICEF Reporting,Global,Global (Reporting),PNEUCARE,WIQ,Middle,60.7,68.9
Global UNICEF Reporting,Global,Global (Reporting),PNEUCARE,WIQ,Fourth,66.9,73.4
Global UNICEF Reporting,Global,Global (Reporting),PNEUCARE,WIQ,Richest,74.5,79.2
Global UNICEF Reporting,Global,Global (Reporting),ZINC,National,National,3,22.9
Global UNICEF Reporting,Global,Global (Reporting),ZINC,Area,Rural,2.8,21.6
UNICEF Reporting Region,MENA,MiddleÿEastÿandÿNorthÿAfrica,DIARCARE,Area,Rural,36.5,46.4
UNICEF Reporting Region,MENA,MiddleÿEastÿandÿNorthÿAfrica,ORS,Area,Rural,29.5,27.2
UNICEF Reporting Region,MENA,MiddleÿEastÿandÿNorthÿAfrica,ORTCF,Area,Rural,28.2,19.4
UNICEF Reporting Region,MENA,MiddleÿEastÿandÿNorthÿAfrica,PNEUCARE,Area,Rural,61.9,59.8
UNICEF Reporting Sub-Region,MENA,MiddleÿEastÿandÿNorthÿAfrica,DIARCARE,Area,Rural,36.5,46.4
